predicate,argument,role_type,actual_fit,exp_fit
abandon,baby,ARG0,3,0
abandon,baby,ARG1,2.8,1
abandon,cat,ARG0,4.6,0
abandon,cat,ARG1,4.8,1
abandon,child,ARG0,4.6,0
abandon,child,ARG1,3.1,1
abandon,kidnapper,ARG0,3.9,0.9
abandon,kidnapper,ARG1,1.5,0.2
accept,award,ARG0,1.1,0
accept,award,ARG1,6.6,0
accept,friend,ARG0,6.1,0.9
accept,friend,ARG1,5.8,0.5
accept,neighbor,ARG0,5.4,0.9
accept,neighbor,ARG1,4.4,0.8
accept,student,ARG0,5.9,0.9
accept,student,ARG1,5.3,0.9
accept,teenager,ARG0,5.5,0.9
accept,teenager,ARG1,4.1,0.9
accuse,criminal,ARG0,3.4,0.2
accuse,criminal,ARG1,6.9,0.1
accuse,defendant,ARG0,3.6,0.1
accuse,defendant,ARG1,6.8,0
accuse,dog,ARG0,1.3,0.1
accuse,dog,ARG1,3.5,0.1
accuse,prosecutor,ARG0,6.8,1
accuse,prosecutor,ARG1,2.6,1
accuse,suspect,ARG0,3.3,0.1
accuse,suspect,ARG1,6.8,0
accuse,witness,ARG0,6.4,0.7
accuse,witness,ARG1,3.2,0.8
admire,actress,ARG0,4.6,0.2
admire,actress,ARG1,6.4,1
admire,athlete,ARG0,4.8,0
admire,athlete,ARG1,6.4,0
admire,disciple,ARG0,5.6,0.9
admire,disciple,ARG1,4.1,0.8
admire,fan,ARG0,6.8,0.9
admire,fan,ARG1,1.7,0.9
admire,groupie,ARG0,6.9,0.9
admire,groupie,ARG1,1.9,0.2
adopt,baby,ARG0,1.4,0.1
adopt,baby,ARG1,6.4,0
adopt,child,ARG0,2,0
adopt,child,ARG1,6.2,0
adopt,committee,ARG0,5.5,0.9
adopt,committee,ARG1,3.3,0.9
adopt,couple,ARG0,5.9,0.9
adopt,couple,ARG1,1.6,0.9
adopt,policy,ARG0,2.1,0
adopt,policy,ARG1,6,0
applaud,actress,ARG0,2.9,0.1
applaud,actress,ARG1,6.5,1
applaud,critic,ARG0,5,0.9
applaud,critic,ARG1,1.5,0.9
applaud,director,ARG0,4.8,0.2
applaud,director,ARG1,4.5,1
applaud,musician,ARG0,2.9,0.1
applaud,musician,ARG1,6.8,0.2
applaud,performance,ARG0,1.2,0
applaud,performance,ARG1,6.7,0
approve,candidate,ARG0,4,0
approve,candidate,ARG1,4.8,0.9
approve,committee,ARG0,6.2,0.9
approve,committee,ARG1,3.8,0.9
approve,contractor,ARG0,5.7,0.9
approve,contractor,ARG1,3.6,0.2
approve,plan,ARG0,1.8,0
approve,plan,ARG1,5.3,1
approve,policy,ARG0,2.3,0
approve,policy,ARG1,5.2,0.1
arrest,cop,ARG0,6.7,1
arrest,cop,ARG1,1.6,1
arrest,corporal,ARG0,5,0.9
arrest,corporal,ARG1,1.5,0.9
arrest,crook,ARG0,1.2,0
arrest,crook,ARG1,5.9,0
arrest,guard,ARG0,5,0.9
arrest,guard,ARG1,1.6,0.9
arrest,police,ARG0,6.4,1
arrest,police,ARG1,1.5,1
arrest,suspect,ARG0,1.4,0.1
arrest,suspect,ARG1,5.5,0
assist,employee,ARG0,6,0.9
assist,employee,ARG1,5.3,0.9
assist,grandmother,ARG0,6,0.9
assist,grandmother,ARG1,6.1,1
assist,host,ARG0,6.1,0.8
assist,host,ARG1,3.4,0.8
assist,moron,ARG0,1.7,0.1
assist,moron,ARG1,3.4,0.1
attack,boxer,ARG0,6.4,0.9
attack,boxer,ARG1,6.1,0.9
attack,fort,ARG0,1.6,0.1
attack,fort,ARG1,6,0
attack,infantry,ARG0,5.6,0.9
attack,infantry,ARG1,5.7,0.9
attack,opinion,ARG0,3.2,0
attack,opinion,ARG1,6.5,0
attack,pacifist,ARG0,1.9,0.1
attack,pacifist,ARG1,3.4,0.1
attack,troops,ARG0,6.6,0.9
attack,troops,ARG1,6.2,0.9
audit,accountant,ARG0,6,0.9
audit,accountant,ARG1,4,0.9
audit,businessman,ARG0,3.8,0.2
audit,businessman,ARG1,6,0.2
audit,citizen,ARG0,2.2,0.3
audit,citizen,ARG1,5.5,0.2
audit,corporation,ARG0,4.8,0.1
audit,corporation,ARG1,6.1,0
audit,government,ARG0,6.2,0.1
audit,government,ARG1,3,0.1
audit,taxpayer,ARG0,2.7,0.1
audit,taxpayer,ARG1,6.2,0
beat,bully,ARG0,6.5,0.9
beat,bully,ARG1,1.9,0.9
beat,egg,ARG0,1.2,0
beat,egg,ARG1,6.1,0
beat,parent,ARG0,3.7,0.5
beat,parent,ARG1,2.2,0.9
beat,wimp,ARG0,1.7,0.1
beat,wimp,ARG1,4.9,0.1
betray,liar,ARG0,6.9,0.8
betray,liar,ARG1,4.7,0.7
betray,partner,ARG0,3.5,0.9
betray,partner,ARG1,4.5,0.8
betray,wife,ARG0,3.4,0.8
betray,wife,ARG1,4.4,0.9
blame,skydiver,ARG0,2,0.8
blame,skydiver,ARG1,1.5,0.8
blame,student,ARG0,5.3,0.5
blame,student,ARG1,4.7,0.9
blame,weatherman,ARG0,3.4,0.5
blame,weatherman,ARG1,5.5,0.5
blame,writer,ARG0,4.5,0.9
blame,writer,ARG1,4.9,0.9
bother,mechanic,ARG0,2.8,0.9
bother,mechanic,ARG1,3.4,1
bother,receptionist,ARG0,2.1,0.9
bother,receptionist,ARG1,4.7,1
break,child,ARG0,6,0.9
break,child,ARG1,1.4,0.5
break,horse,ARG0,3.8,0
break,horse,ARG1,2.9,0.9
break,vase,ARG0,1.1,0.1
break,vase,ARG1,5.9,1
break,window,ARG0,1,0
break,window,ARG1,6,1
bribe,judge,ARG0,1.6,0.2
bribe,judge,ARG1,4.5,0.2
bribe,manager,ARG0,3.6,0.8
bribe,manager,ARG1,5.1,0.9
bribe,undertaker,ARG0,2.2,0.5
bribe,undertaker,ARG1,2.5,0.5
bury,bone,ARG0,1.3,0.1
bury,bone,ARG1,6.2,0.9
bury,evidence,ARG0,1.4,0
bury,evidence,ARG1,4.3,0.9
bury,undertaker,ARG0,6.7,0.9
bury,undertaker,ARG1,2.3,0
bury,victim,ARG0,1.8,0
bury,victim,ARG1,5.3,0.9
calm,family,ARG0,5.9,0.2
calm,family,ARG1,4.1,0.9
calm,hostage,ARG0,2.6,0.1
calm,hostage,ARG1,4.4,0.9
calm,small_child,ARG0,2.2,0.9
calm,small_child,ARG1,6.4,0.9
calm,teacher,ARG0,5.4,0.9
calm,teacher,ARG1,2.5,0.9
capture,archeologist,ARG0,5.1,0.9
capture,archeologist,ARG1,1.4,0.3
capture,army,ARG0,6.5,0.9
capture,army,ARG1,3.1,0.9
capture,criminal,ARG0,3.6,0.1
capture,criminal,ARG1,6.1,1
capture,fugitive,ARG0,2.6,0.1
capture,fugitive,ARG1,5.1,1
capture,hunter,ARG0,6,1
capture,hunter,ARG1,2,0.2
capture,monkey,ARG0,3.2,0.2
capture,monkey,ARG1,3.9,1
capture,policeman,ARG0,6.4,1
capture,policeman,ARG1,2.1,0
capture,prisoner,ARG0,1.8,0.1
capture,prisoner,ARG1,5,1
capture,rabbit,ARG0,2.3,0
capture,rabbit,ARG1,5.5,1
capture,soldier,ARG0,6.2,0.9
capture,soldier,ARG1,4.7,1
capture,tourist,ARG0,4.1,0.6
capture,tourist,ARG1,2.5,0.9
capture,troop,ARG0,6,0.4
capture,troop,ARG1,3.9,0.9
capture,valley,ARG0,1.4,0.1
capture,valley,ARG1,1.8,0.8
caress,dancer,ARG0,3.6,1
caress,dancer,ARG1,4,0.9
caress,electrician,ARG0,1.5,1
caress,electrician,ARG1,1.3,0.9
caress,grandmother,ARG0,6.2,1
caress,grandmother,ARG1,4.6,1
caress,hostess,ARG0,3,0.9
caress,hostess,ARG1,2.7,0.9
carry,furniture,ARG0,1.6,0
carry,furniture,ARG1,5.3,0
carry,invalid,ARG0,1.3,0.1
carry,invalid,ARG1,4.3,0
carry,newborn,ARG0,1.2,0
carry,newborn,ARG1,6.2,0.1
carry,orderly,ARG0,5.3,0.9
carry,orderly,ARG1,1.6,0.9
carry,postman,ARG0,6.8,1
carry,postman,ARG1,1.6,0.9
challenge,aristocrat,ARG0,3.9,0.8
challenge,aristocrat,ARG1,3.6,0.9
challenge,coward,ARG0,1.2,0.2
challenge,coward,ARG1,3.8,0.2
challenge,knight,ARG0,6.7,0.9
challenge,knight,ARG1,5.5,0.9
challenge,moron,ARG0,2.2,0.1
challenge,moron,ARG1,3.1,0.2
chase,bull,ARG0,6.3,0.9
chase,bull,ARG1,2.5,0.9
chase,car,ARG0,3.6,0.8
chase,car,ARG1,4.5,0.5
chase,lion,ARG0,6.6,1
chase,lion,ARG1,2.6,0.9
chase,mouse,ARG0,3.1,0.2
chase,mouse,ARG1,5.5,0
chase,rabbit,ARG0,3.3,0.2
chase,rabbit,ARG1,5.1,0
cheer,athlete,ARG0,6.2,0.1
cheer,athlete,ARG1,6.6,0.2
cheer,crowd,ARG0,6.4,0.9
cheer,crowd,ARG1,2.9,1
cheer,farmer,ARG0,1.9,1
cheer,farmer,ARG1,1.7,1
cheer,performance,ARG0,1.5,0
cheer,performance,ARG1,5.4,0
cheer,quarterback,ARG0,3.8,0.9
cheer,quarterback,ARG1,5.2,0.2
cheer,spectators,ARG0,6.7,1
cheer,spectators,ARG1,1.3,0.9
cheer,touchdown,ARG0,1.4,0
cheer,touchdown,ARG1,6,0.2
choose,candidate,ARG0,4,0.1
choose,candidate,ARG1,5.6,0
choose,committee,ARG0,6.4,0.9
choose,committee,ARG1,4.3,0.9
choose,computer,ARG0,3.3,0
choose,computer,ARG1,4.3,0
choose,contestant,ARG0,6,0.9
choose,contestant,ARG1,5.3,0.9
choose,customer,ARG0,6.6,1
choose,customer,ARG1,1.8,1
choose,shopper,ARG0,6.4,1
choose,shopper,ARG1,1.9,1
conquer,king,ARG0,6.1,0.9
conquer,king,ARG1,3.8,0.9
conquer,kingdom,ARG0,3.1,0.1
conquer,kingdom,ARG1,5.7,0
