predicate,argument,actual_fit,exp_fit
serve,library,2.4,0.75
serve,restaurant,7,1.0
serve,hospital,5.1,1.0
sweep,living room,2.3,1.0
sweep,bathroom,4.8,0.75
sweep,restaurant,6.1,0.75
sweep,kitchen,6.8,1.0
sweep,barn,4.6,0.75
sweep,theatre,4.7,0.75
act,stage,6.9,1.0
act,school,5.1,0.75
act,work,2.9,0.0
act,theater,6.9,1.0
act,party,4.1,0.0
act,gymnasium,3.7,0.25
act,playground,2.9,0.25
examine,hospital,6.9,1.0
examine,office,4.7,0.75
examine,laboratory,6.8,1.0
examine,school,5.2,0.75
examine,court,5.9,0.75
examine,bank,3.8,0.75
gamble,bar,4.3,0.5
gamble,racetrack,6.8,0.75
gamble,casino,7,1.0
gamble,hotel,3.5,0.75
gamble,party,3.5,0.25
gamble,mall,2,0.25
gamble,airport,1.8,0.25
gamble,arena,3.8,0.5
drive,highway,7,1.0
drive,racetrack,6.2,1.0
drive,rink,2.8,0.0
drive,sidewalk,2.1,0.0
drive,ditch,1.7,0.25
drive,field,3.7,0.5
hunt,forest,6.9,0.75
hunt,lake,4.3,0.75
hunt,backyard,2.2,0.5
hunt,ocean,3.2,0.75
hunt,swamp,3.5,0.75
hunt,meadow,4.1,0.75
hunt,garden,2,0.5
browse,store,6.9,1.0
browse,classroom,2.5,0.5
browse,library,6.2,1.0
browse,gallery,6.8,0.75
browse,museum,6.6,1.0
browse,bar,3.2,0.5
bury,sandbox,6.3,0.5
bury,concrete,2.9,0.25
bury,ground,6.1,1.0
bury,cemetery,7,1.0
bury,dump,4.8,0.25
bury,subway,1.4,0.25
mingle,party,6.9,1.0
mingle,mall,4.3,0.75
mingle,office,4,0.75
mingle,bar,6.7,1.0
mingle,graduation,6.2,0.75
mingle,wedding,6.4,1.0
marry,house,4.4,0.75
marry,church,7,1.0
marry,island,3.7,0.75
marry,backyard,4.8,0.75
marry,prison,1.4,0.25
marry,brewery,1,0.75
applaud,classroom,4.3,0.75
applaud,concert,6.9,0.5
applaud,restaurant,2,0.5
applaud,playground,2,0.5
applaud,theater,6.9,1.0
applaud,arena,6.3,0.75
applaud,stadium,6.7,0.75
applaud,convention,5.5,0.75
beg,school,3.8,0.75
beg,street,5.6,1.0
beg,prison,4.6,0.25
beg,court,5.3,0.5
beg,sidewalk,4.4,0.75
beg,church,2.9,0.75
