,Dataset,exp_num,exp_name,exp_type,Spearmans Correlation
0,ferretti_location,exp1.1_1.2,lemma_tuple,numerical,0.30788062982374600
1,ferretti_location,exp1.1_1.2,lemma_tuple,categorical,0.1796582601687480
2,ferretti_instrument,exp1.1_1.2,lemma_tuple,numerical,0.42014719071075300
3,ferretti_instrument,exp1.1_1.2,lemma_tuple,categorical,0.21659035828121000
4,pado_plausibility_pb,exp1.1_1.2,lemma_tuple,numerical,0.08379063267713920
5,pado_plausibility_pb,exp1.1_1.2,lemma_tuple,categorical,-0.0637578875390272
6,mcrae_agent_patient_more,exp1.1_1.2,lemma_tuple,numerical,0.22116853461565300
7,mcrae_agent_patient_more,exp1.1_1.2,lemma_tuple,categorical,0.0020032190394080200
8,ferretti_location,exp2.1_2.2,gen_sentences,numerical,0.25819968863572800
9,ferretti_location,exp2.1_2.2,gen_sentences,categorical,0.20506947671077700
10,ferretti_instrument,exp2.1_2.2,gen_sentences,numerical,0.43028323035875000
11,ferretti_instrument,exp2.1_2.2,gen_sentences,categorical,0.18687899717007700
12,pado_plausibility_pb,exp2.1_2.2,gen_sentences,numerical,0.16401790936954800
13,pado_plausibility_pb,exp2.1_2.2,gen_sentences,categorical,-0.03607131167206450
14,mcrae_agent_patient_more,exp2.1_2.2,gen_sentences,numerical,0.1670863847484170
15,mcrae_agent_patient_more,exp2.1_2.2,gen_sentences,categorical,-0.005785436844838710
16,ferretti_location,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.4771478358464020
17,ferretti_location,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.20553972196066600
18,ferretti_instrument,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.5049382424971930
19,ferretti_instrument,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.36566301535226900
20,pado_plausibility_pb,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.14463887073273300
21,pado_plausibility_pb,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.16297539228455600
22,mcrae_agent_patient_more,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.1515326904101870
23,mcrae_agent_patient_more,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.09638289334819500
24,ferretti_location,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.39063992033143100
25,ferretti_location,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,0.14490640583450600
26,ferretti_instrument,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.45876105960066400
27,ferretti_instrument,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,0.36111186586595300
28,pado_plausibility_pb,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.20268584423080400
29,pado_plausibility_pb,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,-0.010116645852673300
30,mcrae_agent_patient_more,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.12972945640960800
31,mcrae_agent_patient_more,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,0.09106632994996980
