predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,library,The library serves as a place for people to study and learn.,1.0,The library serves as a resource for researchers to access information.,1.0,The library serves as a community center for the local community.,1.0,The library serves as a place for people to relax and unwind.,1.0,The library serves as a hub for cultural events and activities.,1.0,2.4,1.0
serve,restaurant,The restaurant serves delicious food.,1.0,The restaurant serves a variety of cuisines.,1.0,The restaurant serves drinks.,1.0,The restaurant serves desserts.,1.0,The restaurant serves breakfast.,1.0,7,1.0
serve,hospital,The hospital serves as a place of healing for patients.,1.0,The hospital serves as a source of medical care for the community.,1.0,The hospital serves as a place of refuge for those in need.,1.0,The hospital serves as a place of learning for medical students.,1.0,The hospital serves as a place of research for medical professionals.,1.0,5.1,1.0
sweep,living room,The broom swept the living room.,1.0,The vacuum cleaner swept the living room.,1.0,The dustpan and brush swept the living room.,1.0,The broom swept the living room floor.,0.8,The vacuum cleaner swept the living room floor.,0.8,2.3,0.92
sweep,bathroom,I sweep the bathroom every day to keep it clean.,1.0,The maid sweeps the bathroom every week to keep it spotless.,1.0,The sweeper sweeps the bathroom every month to remove dirt and dust.,1.0,The janitor sweeps the bathroom every day to keep it tidy.,1.0,The sweeper sweeps the bathroom every week to remove all the dirt and dust.,1.0,4.8,1.0
sweep,restaurant,The sweep of the restaurant's exterior was impressive.,1.0,The restaurant's sweep of the dining area was clean and well-organized.,0.8,The sweep of the restaurant's parking lot was smooth and easy to navigate.,0.8,The restaurant's sweep of the kitchen was efficient and well-equipped.,0.8,The sweep of the restaurant's service was friendly and attentive.,0.8,6.1,0.84
sweep,kitchen,The broom swept the kitchen floor.,1.0,,1.0,,1.0,,1.0,,1.0,6.8,1.0
sweep,barn,The sweep of the barn's roof was impressive.,0.8,The barn's sweep was a sight to behold.,0.8,The barn's sweep was a beautiful sight.,0.8,The sweep of the barn was a sight to behold.,1.0,The sweep of the barn was a beautiful sight.,0.8,4.6,0.84
sweep,theatre,The sweep of the theatre's stage was impressive.,0.75,The theatre's sweep was breathtaking.,0.8,The sweep of the theatre's auditorium was grand.,0.8,The theatre's sweep was majestic.,1.0,The sweep of the theatre's balcony was stunning.,0.8,4.7,0.83
act,stage,The actor performed on stage.,1.0,The actress acted on stage.,1.0,The actor acted on the stage.,1.0,The actress performed on the stage.,1.0,The actor performed on the stage.,1.0,6.9,1.0
